denken,13
mensen,27
zee,185
boot,198
vrouw,83
geven,169
krijgen,176
niet,81
fornuis,133
oven,129
bril,216
ruiken,237
missen,39
telefoon,172
kraan,164
benen,150
brood,228
melk,21
tv,226
pen,159
bakken,114
dieren,31
jij,44
jas,38
vlees,23
spel,76
tas,160
verdrietig,249
4,24
stekker,112
winnen,155
8,48
jullie,56
stoel,118
tijd,190
weten,125
tellen,178
dag,7
klein,98
kast,68
fles,127
muziek,63
school,16
staan,100
krant,170
groep,205
klok,110
fietsen,115
hij,235
broek,222
bank,126
neus,75
kaart,62
straat,130
ouders,123
reis,213
die,25
gras,193
bellen,144
potlood,177
honger,246
bad,102
wit,161
geld,163
kerk,80
leren,212
bal,120
avond,84
tandenborstel,154
stoppen,124
gang,157
vliegtuig,29
winkel,149
zeggen,191
haar,217
idee,20
moeten,51
plant,165
kunnen,182
computer,1
zwemmen,239
suiker,142
sport,94
schaar,248
hangen,229
soep,70
tekenen,166
batterijen,132
doen,37
slaapkamer,40
voeten,47
3,18
meisje,15
koelkast,128
7,42
dorst,55
koken,140
onweer,99
trap,202
moeder,45
foto,139
wc,107
lopen,242
paard,135
douchen,67
water,101
vinden,11
zoeken,227
vijver,5
koffie,134
mes,33
pasta,153
nacht,69
trekken,214
of,87
luisteren,247
voor,59
onder,93
knippen,116
wonen,173
wachten,89
veel,244
schrijven,28
spelen,82
lachen,194
baas,90
drinken,79
zitten,221
wij,131
gezin,175
vis,17
en,91
prullenbak,195
armen,72
zijn,215
huis,14
wolken,167
slecht,52
papier,147
usb,238
hoofd,2
tafel,148
boek,180
kussens,188
scherm,4
2,12
blijven,168
toetsenbord,196
6,36
brug,234
voelen,35
regen,207
man,3
zij,209
gaan,151
flat,121
oog,105
schrift,22
doos,49
trein,208
glas,181
achter,66
vrachtwagen,71
relatie,219
liefde,230
trui,220
familie,103
warm,95
spiegel,88
oor,111
baby,96
slapen,46
10,6
woonkamer,179
weinig,113
douche,61
kinderen,92
bed,138
badkamer,108
bureau,240
rijden,231
lepel,206
sneeuw,64
willen,137
portemonnee,171
vogel,53
aardappel,60
donker,43
muis,57
blij,162
strand,136
bus,245
ruimte,243
vork,65
vrienden,77
ik,26
rij,225
uit,232
in,32
komen,146
hond,241
dragen,73
werken,119
schoenen,10
bord,204
koud,158
shirt,34
keuken,86
boos,192
pakken,141
1,0
lamp,200
5,30
boom,186
eten,97
auto,78
9,54
praten,183
deur,19
bloem,174
map,9
koning,152
printer,189
thee,184
goed,187
sluiten,58
boven,210
fiets,109
hand,223
stad,106
fruit,145
zwart,233
kat,74
betalen,156
voetbal,41
openen,117
eiland,85
lezen,218
kleren,104
zetten,197
raam,201
horen,8
groenten,199
knop,122
groot,211
jongen,50
liggen,236
zien,203
licht,224
wind,143
